,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Espirito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Paraná,Rio Grande do Sul,Santa Catarina,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
Unnamed: 1,AC,AP,AM,PA,RO,RR,TO,AL,BA,CE,MA,PB,PE,PI,RN,SE,ES,MG,RJ,SP,PR,RS,SC,DF,GO,MT,MS
26/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0
08/03/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
11/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,1,0,1,0,0,0
12/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,12,6,2,0,0,0,0,0
13/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14,0,0,2,0,3,0,0
14/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,2,2,4,0,0,0
15/03/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,71,0,0,2,2,0,0,0
16/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,16,0,0,1,5,0,0,2
17/03/2020,0,0,0,0,0,0,0,0,1,5,0,0,14,0,0,3,0,2,2,12,0,4,0,9,3,0,2
18/03/2020,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,8,8,12,76,7,9,3,4,2,0,3
19/03/2020,3,0,2,1,0,0,1,3,27,11,0,1,12,0,0,1,2,14,20,46,10,9,10,16,4,0,0
20/03/2020,4,1,0,1,1,0,0,1,3,35,0,0,2,3,0,0,2,6,44,110,9,9,1,45,3,1,2
21/03/2020,2,0,8,0,0,0,1,2,8,13,1,0,0,1,5,4,13,3,10,63,11,23,30,13,5,1,7
22/03/2020,2,0,15,2,2,2,0,0,8,44,1,0,7,0,3,0,0,45,67,172,7,12,6,17,1,0,5
23/03/2020,0,0,6,1,0,0,3,0,14,51,0,1,5,2,4,0,3,45,47,114,6,14,11,16,2,0,0
24/03/2020,6,0,15,0,0,0,2,2,13,19,6,1,0,0,0,5,4,2,72,65,9,12,39,27,4,5,2
25/03/2020,6,0,7,2,2,6,0,2,8,18,0,0,4,2,1,1,6,3,65,52,16,25,2,0,2,1,1
26/03/2020,1,1,13,6,0,0,0,0,20,35,2,2,2,1,5,0,0,20,51,190,21,45,13,40,10,3,1
27/03/2020,1,0,14,0,1,2,1,0,11,47,3,4,8,0,9,0,8,36,72,171,17,27,27,30,10,0,3
28/03/2020,0,2,30,4,0,2,1,3,13,32,1,5,12,2,17,0,6,16,65,183,14,2,35,30,7,2,3
29/03/2020,9,0,29,1,0,4,0,3,26,34,2,0,5,3,23,0,7,26,42,45,15,29,10,29,2,3,5
30/03/2020,8,4,11,3,0,0,1,0,22,24,7,1,5,2,9,0,12,30,57,66,7,15,3,23,3,2,8
31/03/2020,0,2,24,11,2,0,1,1,37,18,8,2,9,2,5,3,12,14,51,822,24,33,22,20,4,7,4
01/04/2020,1,1,25,8,1,6,1,0,33,54,23,3,8,0,10,1,12,39,124,642,45,32,16,23,6,2,3
02/04/2020,0,0,29,6,1,4,0,0,21,106,17,1,11,1,13,3,24,56,160,525,28,28,12,15,2,9,2
03/04/2020,3,8,31,4,0,4,0,4,15,77,10,8,30,2,71,2,19,27,82,542,49,62,34,32,15,8,7
04/04/2020,0,9,51,30,1,7,2,1,50,103,7,3,40,1,36,2,14,33,172,418,94,14,53,52,15,12,2
05/04/2020,2,1,106,6,1,5,3,5,69,93,8,2,25,1,30,5,13,68,148,154,43,8,23,14,12,4,3
06/04/2020,2,5,115,16,2,0,0,3,30,190,37,1,22,0,4,0,28,27,67,246,20,63,22,5,4,16,1
07/04/2020,0,14,104,36,4,0,2,1,25,38,39,1,129,5,8,4,15,34,227,816,45,27,38,19,14,2,14
08/04/2020,4,59,168,29,0,7,4,5,41,240,58,5,49,3,7,0,18,55,250,1026,36,47,40,17,25,12,5
09/04/2020,8,21,95,1,10,3,0,0,62,134,43,14,154,7,0,3,46,41,278,772,70,63,44,18,21,18,4
10/04/2020,8,38,82,2,4,11,0,8,45,53,20,24,129,2,2,3,27,43,248,736,34,18,192,28,12,4,8
11/04/2020,2,27,69,47,1,12,0,3,31,104,51,6,132,1,26,0,49,52,143,203,33,4,39,24,18,9,3
12/04/2020,5,37,156,29,2,4,2,0,38,94,54,16,144,3,13,2,34,56,248,336,62,13,36,35,20,2,1
13/04/2020,13,12,69,24,7,4,1,2,50,124,47,10,194,6,37,0,47,9,376,140,18,11,9,24,4,11,12
14/04/2020,9,65,209,53,22,30,0,22,36,205,33,25,130,8,37,1,33,69,179,476,35,36,49,13,51,4,2
15/04/2020,2,27,70,61,5,1,0,10,48,152,152,15,200,17,23,1,94,19,333,1672,12,47,27,31,20,13,6
16/04/2020,9,28,165,54,7,28,3,7,144,229,65,14,199,16,1,2,197,55,201,525,29,33,31,34,14,5,10
17/04/2020,25,8,90,119,16,22,2,21,108,298,102,30,323,11,63,5,102,63,405,1273,42,22,42,30,17,6,12
18/04/2020,7,23,88,83,18,37,2,22,134,350,243,10,187,21,53,18,96,56,194,1053,71,29,36,16,43,9,18
19/04/2020,21,23,147,45,18,21,0,27,37,218,165,31,266,22,15,12,147,77,222,373,42,23,13,65,15,3,7
20/04/2020,13,17,116,217,32,22,1,12,111,230,115,9,231,13,64,3,69,35,134,313,20,35,50,45,10,7,3
21/04/2020,19,24,110,124,39,3,3,39,148,234,76,18,218,28,13,6,44,41,407,805,17,15,38,9,18,0,2
22/04/2020,19,22,209,169,24,33,0,33,155,194,208,38,390,20,38,25,101,53,246,529,39,19,28,65,17,2,2
23/04/2020,13,69,409,72,27,17,0,81,145,688,153,44,221,11,62,7,50,25,620,826,19,71,24,17,15,38,11
24/04/2020,7,85,306,179,40,7,6,89,173,202,194,41,480,39,46,20,18,111,110,1086,37,67,55,26,33,19,27
25/04/2020,24,52,441,133,38,41,7,88,119,621,154,61,508,41,27,9,214,62,546,2178,21,35,39,24,20,7,4
26/04/2020,21,113,198,288,36,56,8,53,128,412,118,52,391,34,44,6,108,67,283,711,16,70,26,53,67,3,17
27/04/2020,0,44,95,261,29,6,9,89,145,893,187,44,460,33,7,38,93,38,833,981,30,62,102,80,43,7,4
28/04/2020,32,76,409,134,20,18,12,134,186,192,118,90,366,44,25,83,78,63,560,2345,85,58,139,67,45,4,2
29/04/2020,43,98,464,160,20,27,37,180,106,349,276,66,470,46,229,57,233,109,365,2117,77,82,519,62,44,31,9
30/04/2020,50,64,453,454,69,67,21,87,205,339,386,115,682,59,91,110,358,69,584,2540,59,98,90,81,76,5,6
01/05/2020,82,41,469,300,83,83,27,182,234,273,316,112,458,87,120,70,197,108,713,1676,40,63,19,110,27,23,6
02/05/2020,67,66,339,284,68,66,27,146,230,430,299,108,811,65,69,84,323,88,380,800,45,90,242,100,17,11,5
03/05/2020,104,295,621,403,52,72,55,69,180,61,235,135,498,77,26,129,101,95,593,598,22,47,0,83,25,6,6
04/05/2020,76,251,559,262,51,66,21,97,239,2670,187,50,220,42,29,42,140,229,582,415,48,45,173,119,11,7,2
05/05/2020,84,198,867,347,105,63,36,68,306,430,303,142,462,91,115,126,176,105,670,1866,26,104,104,50,61,21,9
06/05/2020,126,115,1134,545,82,63,48,97,261,834,498,132,556,74,38,100,166,153,904,3800,39,235,294,88,102,14,5
07/05/2020,71,153,856,507,155,88,72,164,227,1584,361,164,943,102,165,216,270,165,861,2075,29,79,165,352,3,38,23
08/05/2020,163,123,628,617,124,104,71,166,290,1068,520,374,763,80,82,224,404,173,1585,1902,55,318,123,184,26,40,15
09/05/2020,158,171,1198,634,41,78,78,139,356,923,856,125,883,102,98,150,170,180,1188,2581,74,46,167,134,16,45,20
10/05/2020,112,120,674,481,39,88,116,86,384,813,834,185,805,45,9,183,187,114,133,1033,50,49,57,106,24,17,16
11/05/2020,13,58,320,307,94,5,59,85,250,907,545,184,493,54,61,29,220,83,877,687,14,34,100,101,7,22,23
12/05/2020,130,239,1249,1053,64,33,81,237,396,813,382,252,541,111,44,232,268,115,547,1588,57,341,204,196,15,50,20
13/05/2020,104,95,1648,1002,152,83,104,181,343,744,586,268,592,169,334,236,314,298,242,3378,90,0,95,213,19,70,25
14/05/2020,46,423,1365,1249,74,89,97,211,408,1921,689,316,687,172,170,226,412,217,739,3189,67,80,504,224,289,58,22
15/05/2020,45,202,1211,1242,103,89,150,240,1173,1413,938,378,621,121,249,374,385,246,520,4092,76,600,230,371,149,60,27
16/05/2020,82,204,1285,1075,130,117,100,381,186,1305,853,324,2279,180,218,267,397,278,1614,2805,103,98,116,353,68,72,29
17/05/2020,130,118,651,680,44,85,103,223,129,460,900,284,964,167,133,208,149,137,637,1162,44,40,98,228,52,50,62
18/05/2020,237,71,585,870,80,85,114,215,138,2108,746,439,642,35,47,223,413,84,4427,721,74,0,399,251,57,36,43
19/05/2020,248,287,1219,1561,214,109,150,285,2432,1749,960,514,1148,153,299,401,536,282,1140,2929,121,15,238,234,97,58,29
20/05/2020,335,239,1572,1840,242,82,163,121,184,2448,916,538,1318,197,313,310,399,309,2567,3864,135,1223,86,308,132,59,51
21/05/2020,286,639,1663,1621,160,79,167,479,744,853,944,400,1351,215,264,457,786,310,1717,3880,194,500,111,381,136,118,53
22/05/2020,240,467,1671,1713,115,160,229,386,616,3160,1154,644,1849,222,191,188,642,399,1500,3132,129,445,848,406,190,48,59
23/05/2020,524,436,1764,1228,335,68,225,328,443,549,1555,626,1026,184,348,209,398,343,944,3687,160,418,149,303,73,132,53
24/05/2020,293,262,1065,1428,92,65,161,584,899,473,2424,315,973,132,98,183,89,330,3379,1603,113,134,89,387,66,110,66
25/05/2020,341,231,415,1952,67,75,105,468,305,590,1595,193,607,160,62,134,358,294,1386,1464,119,89,179,292,69,38,99
26/05/2020,280,383,1667,2523,225,69,162,376,362,836,1492,903,488,170,713,287,524,554,726,2392,181,226,141,280,159,128,77
27/05/2020,470,652,1559,2433,369,99,165,522,504,254,1867,1290,1065,246,158,177,595,495,2374,3466,200,263,356,551,172,211,86
28/05/2020,349,533,2638,2666,390,277,254,475,893,546,1834,923,794,277,0,244,719,675,2488,6382,272,1186,628,539,247,112,76
29/05/2020,241,317,2763,2787,250,139,334,563,954,574,2503,879,1542,260,833,306,700,546,3067,5691,252,0,530,422,229,152,94
30/05/2020,231,844,1651,810,241,201,370,605,709,8111,2138,851,1172,242,939,343,534,398,4467,5586,237,1008,248,752,266,258,62
31/05/2020,147,289,818,665,199,175,195,1065,766,1983,2019,300,1023,186,649,194,253,834,968,2556,214,90,259,306,117,68,71
01/06/2020,107,288,396,85,230,218,169,549,506,2015,658,533,450,188,-87,234,379,206,1142,1598,148,0,461,730,204,112,79
02/06/2020,139,621,1421,3161,305,158,138,722,2532,2569,1328,1164,608,387,269,322,1082,269,2202,6999,328,587,162,746,471,168,78
03/06/2020,214,596,1152,3567,236,293,215,848,1021,2983,1549,1159,955,322,916,434,970,1071,2508,5188,331,479,374,764,193,139,156
04/06/2020,342,444,2126,3275,746,340,183,690,1012,3739,2455,1561,1044,236,133,211,773,1024,1692,5717,326,612,498,903,374,346,123
05/06/2020,263,776,1193,2911,403,348,301,840,2956,1800,2684,1000,1004,653,158,377,1215,961,2134,5365,528,573,314,1285,429,287,72
06/06/2020,241,446,1119,2216,838,407,323,881,977,1980,2157,1208,850,388,9,395,841,944,1467,5984,257,454,439,1642,296,181,135
07/06/2020,458,272,484,1095,410,291,139,888,854,696,2123,523,881,373,3,318,669,764,3223,2524,292,98,280,773,144,216,121
08/06/2020,145,249,542,1761,516,239,163,0,465,1334,1778,641,463,143,1436,437,1040,180,1743,1520,134,115,0,6,311,222,71
09/06/2020,329,477,1423,3116,594,288,245,1487,1766,2779,2698,1501,305,306,139,399,1305,219,3480,5545,283,552,627,1461,397,239,131
10/06/2020,289,852,1615,2947,630,291,205,983,2204,3018,1439,1580,925,432,541,489,1380,1399,1394,6178,517,817,402,1343,638,263,142
11/06/2020,345,543,1140,2031,697,247,272,1024,1206,2477,2172,1338,1059,464,1666,441,885,947,1402,6204,626,549,359,1074,498,490,256
12/06/2020,204,517,1122,2202,677,118,215,831,774,1826,1925,1186,878,514,267,478,1028,1658,2009,5380,248,216,212,889,189,271,148
13/06/2020,239,639,915,2182,486,130,187,856,1123,724,1254,898,799,488,288,1332,675,508,1052,4975,528,243,131,563,94,161,234
14/06/2020,108,190,480,669,155,33,41,1312,613,319,991,559,590,328,382,1102,509,767,736,5327,350,34,64,912,4,337,198
15/06/2020,129,301,271,45,315,6,165,763,1219,2714,742,655,246,204,43,1707,1140,347,1374,3258,133,777,600,813,2238,324,118
16/06/2020,232,1211,1241,2019,830,54,172,670,1586,1827,2119,1460,920,524,998,635,1371,296,2397,8825,841,1033,442,1696,1082,203,234
17/06/2020,336,594,1529,2949,557,215,264,1235,1720,3678,2024,1584,1019,678,0,497,1489,1323,3620,1232,528,657,613,1760,972,736,379
18/06/2020,325,769,1189,2431,237,271,201,766,651,2306,1356,48,1180,540,677,531,1230,1559,354,1111,834,694,558,1381,1068,388,110
19/06/2020,323,535,947,3449,549,229,182,1273,2345,2590,2409,3333,1094,468,150,470,1471,1146,6061,19030,866,765,749,2381,723,841,392
20/06/2020,276,1652,1219,2809,599,387,247,792,1382,2293,1173,1428,1398,1246,3167,641,1074,1253,2159,4135,877,551,786,1336,853,609,324
21/06/2020,118,266,508,1773,229,83,151,959,975,710,386,263,995,451,84,536,642,336,596,3392,839,210,474,989,739,508,247
22/06/2020,158,2842,321,1366,646,68,123,738,807,1292,630,469,381,212,667,399,926,1277,1439,2788,623,362,355,921,917,551,154
23/06/2020,271,1755,1342,2616,671,2152,289,853,1998,3370,1332,1746,337,793,118,499,1043,979,3297,7502,729,1154,1307,1220,1032,638,393
24/06/2020,212,482,1691,3072,926,463,332,982,2847,2050,1293,913,1191,958,1699,470,1654,1446,2624,9347,1110,1145,1677,1886,1054,784,417
25/06/2020,282,496,503,2328,749,1069,327,835,2360,2548,1611,912,1114,853,891,728,1765,1426,2404,9765,858,1051,1030,1617,925,714,322
26/06/2020,340,247,953,2436,1098,1039,256,799,2131,2296,1773,2008,668,943,1066,827,1406,6122,2600,9921,851,1054,996,2455,1316,869,390
27/06/2020,269,239,802,2841,0,167,285,657,8822,2206,1417,1410,1285,642,522,1411,0,2075,306,7073,1147,886,861,1440,757,779,394
28/06/2020,145,84,627,1130,549,1263,262,791,3251,940,397,437,1018,493,203,1102,2031,1775,2495,6156,923,243,556,2139,364,882,220
29/06/2020,88,268,244,764,586,118,131,805,972,657,457,378,369,595,5265,396,1414,1123,585,3408,584,416,692,2166,1023,399,149
30/06/2020,107,239,930,1999,845,182,405,845,3840,474,1482,1900,382,669,566,594,1796,1137,728,6235,1551,1282,1298,2147,1374,550,289
01/07/2020,462,435,1461,2647,211,512,458,857,3178,4318,2805,1218,847,1637,1612,504,1928,2583,2667,8555,1348,1230,925,1458,1160,985,711
02/07/2020,333,226,1246,2214,508,2430,232,509,2864,2507,2769,1361,1414,1248,998,697,1419,3123,1545,12244,2079,1024,1296,1605,722,1106,386
03/07/2020,64,421,1007,2344,271,740,282,1076,2965,2517,2189,1229,1243,1069,524,1574,1449,2644,2133,8523,1862,1176,1686,1715,67,1127,326
04/07/2020,375,235,1408,2120,716,446,546,851,3171,2911,843,1541,1095,1185,836,1575,1134,2607,1484,1828,2404,1248,1670,1764,2164,1244,522
05/07/2020,135,74,69,1280,522,153,193,680,1563,512,657,422,1672,518,388,456,570,2325,852,7649,889,336,1038,2094,32,793,179
06/07/2020,66,121,410,724,442,26,165,634,1231,1013,537,423,513,432,339,501,1154,1343,587,2891,1310,446,853,2529,770,605,164
07/07/2020,253,290,2743,1617,643,140,364,955,3675,2475,1837,1651,509,1003,836,922,2151,1271,2207,9638,1539,1399,1520,2311,2012,910,434
08/07/2020,226,230,915,2592,503,196,436,798,3582,3519,851,1542,1453,897,691,850,1839,3138,2243,8657,1407,1757,1468,1620,1356,1429,376
09/07/2020,298,239,1236,1987,335,870,405,869,2783,2529,2384,1270,1163,1334,549,926,1472,2829,1995,8350,1709,877,1598,1363,1212,1429,608
10/07/2020,303,317,1189,1943,598,1066,664,768,2867,2546,1395,1504,1333,1524,1205,1297,1347,3222,1119,9395,2088,1056,1698,1620,1262,1132,590
11/07/2020,312,199,723,2260,496,629,430,674,3002,2399,1680,1303,1270,1196,351,1333,880,3727,232,7780,1285,1230,1920,1109,655,1240,708
12/07/2020,110,85,296,780,232,376,193,697,1575,840,554,363,1100,498,805,1585,563,2038,9,5107,1740,520,1005,2306,451,775,228
13/07/2020,70,188,886,795,322,402,175,966,1128,421,878,324,431,396,379,590,1080,971,2360,2610,1045,416,784,1572,452,381,264
14/07/2020,219,333,1229,2061,478,341,416,709,3138,2231,1637,1354,675,797,541,946,1334,1821,778,12000,1781,1337,2235,1370,1136,487,473
15/07/2020,193,523,1303,2264,389,713,308,859,2964,1811,1002,1477,1384,1289,313,972,1139,3367,1627,6569,1761,1246,1926,1725,1063,1040,697
16/07/2020,193,596,1081,2205,737,716,641,870,3380,2752,1657,1484,1131,1097,324,1087,1766,2460,124,8872,2281,3105,1805,2242,1306,792,699
17/07/2020,100,432,797,2125,463,610,282,519,2284,1938,1057,924,1332,515,325,662,1343,2801,657,5367,1916,1366,1768,1779,480,1860,475
18/07/2020,237,149,1712,1783,0,366,255,330,1581,606,909,624,1086,1511,2148,1184,670,3604,0,4612,2232,137,982,1763,114,-264,201
19/07/2020,93,120,379,537,0,94,564,495,1931,428,233,411,943,728,315,2171,478,2097,3294,3022,1076,266,805,1249,-26,1429,397
